nome_popular;nome_cientifico;propriedades
Abacateiro;Persea americana;Diurético, antirreumático e auxilia em distúrbios renais.
Abacaxi;Ananas comosus;Auxilia na digestão e possui propriedades anti-inflamatórias (bromelina).
Açafrão-da-terra;Curcuma longa;Potente anti-inflamatório, antioxidante e protetor hepático.
Alcachofra;Cynara cardunculus;Facilita a digestão, estimula a produção de bile e reduz colesterol.
Alecrim-pimenta;Lippia sidoides;Antisséptico local, antifúngico e auxilia em afecções bucais.
Alfavacão;Ocimum gratissimum;Antisséptico, carminativo e auxilia em problemas respiratórios.
Alho;Allium sativum;Coadjuvante no tratamento de hipertensão, gripe e níveis elevados de gordura no sangue.
Amora;Morus sp.;Auxilia no alívio de sintomas da menopausa e possui ação antioxidante.
Amor-crescido;Portulaca pilosa;Utilizado tradicionalmente para cicatrização e inflamações tópicas.
Andiroba;Carapa guianensis;Ação anti-inflamatória, antisséptica e repelente natural.
Artemísia;Artemisia absinthium;Estimulante digestivo, tônico e emenagogo.
Babaçú;Orbignya speciosa;O óleo é utilizado como base para produtos dermatológicos e anti-inflamatórios.
Babosa;Aloe vera;Cicatrizante, hidratante e auxiliar no tratamento de queimaduras.
Caju;Anacardium occidentale;Antisséptico, adstringente e rico em vitamina C.
Calêndula;Calendula officinalis;Cicatrizante e anti-inflamatório para uso tópico em feridas e inflamações de pele.
Camomila;Matricaria chamomilla;Calmante, digestiva e auxiliar em espasmos gastrointestinais.
Cana-do-brejo;Costus spp.;Diurético e utilizado em infecções urinárias e cálculos renais.
Carqueja;Baccharis trimera;Tônico digestivo, auxiliar em dietas de emagrecimento e protetor hepático.
Cáscara-sagrada;Frangula purshiana;Laxante natural indicado para constipação intestinal eventual.
Cavalinha;Equisetum arvense;Remineralizante, diurético e auxiliar na consolidação de fraturas.
Chambá;Justicia pectoralis;Expectorante, broncodilatador e calmante leve.
Colônia;Alpinia spp.;Anti-hipertensivo, calmante e digestivo.
Copaíba;Copaifera spp.;Potente cicatrizante, anti-inflamatório e antisséptico urinário.
Erva-baleeira;Varronia curassavica;Anti-inflamatório musculoesquelético e cicatrizante potente.
Erva-de-bicho;Polygonum spp.;Hemostático e auxiliar no tratamento de hemorroidas e varizes.
Espinheira-santa;Maytenus ilicifolia;Tratamento de gastrites, úlceras gástricas e refluxo.
Eucalipto;Eucalyptus globulus;Antisséptico das vias respiratórias e expectorante.
Boldo-brasileiro;Plectranthus barbatus;Auxiliar na digestão e protetor das funções do fígado.
Folha-da-fortuna;Kalanchoe pinnata;Anti-inflamatório, cicatrizante e auxiliar em afecções pulmonares.
Funcho;Foeniculum vulgare;Antiespasmódico, carminativo e auxiliar na amamentação.
Garra-do-diabo;Harpagophytum procumbens;Auxiliar no tratamento de dores articulares e reumatismo.
Goiabeira;Psidium guajava;Antidiarreico e antisséptico bucal.
